q,kv,d,group,kernel,fused_output_group_span,min_ms,mean_ms,cosine,splits,split_kv_len,storage_bytes,status,error,command
256,131072,256,2,sm120_fused,2,0.19788800179958344,0.19925333559513092,0.9899863004684448,20,6656,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 256 --kv-len 131072 --head-dim 256 --group 2 --split-kv-len 6656 --warmup 1 --repeat 3 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
256,131072,256,2,nvfp4_fa2,,0.49775999784469604,0.5111253460248312,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 131072 --head-dim 256 --group-sizes 2 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
256,131072,256,2,fp8_fa2,,0.44233599305152893,0.45210666457811993,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 131072 --head-dim 256 --group-sizes 2 --batch-size 1 --only fp8 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
256,131072,256,2,bf16_fa2,,0.3230400085449219,0.33425066868464154,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 131072 --head-dim 256 --group-sizes 2 --batch-size 1 --only bf16 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
256,262144,256,2,sm120_fused,2,0.3681280016899109,0.3700159986813863,0.99167799949646,40,6656,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 256 --kv-len 262144 --head-dim 256 --group 2 --split-kv-len 6656 --warmup 1 --repeat 3 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
256,262144,256,2,nvfp4_fa2,,0.964896023273468,0.9805653293927511,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 262144 --head-dim 256 --group-sizes 2 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
256,262144,256,2,fp8_fa2,,0.889631986618042,0.8977920015652975,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 262144 --head-dim 256 --group-sizes 2 --batch-size 1 --only fp8 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
256,262144,256,2,bf16_fa2,,0.6420480012893677,0.6524479985237122,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 256 --kv-len 262144 --head-dim 256 --group-sizes 2 --batch-size 1 --only bf16 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
512,8192,256,2,sm120_fused,2,0.1716800034046173,0.17392000059286752,0.9914748668670654,2,6656,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 512 --kv-len 8192 --head-dim 256 --group 2 --split-kv-len 6656 --warmup 1 --repeat 3 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
512,8192,256,2,nvfp4_fa2,,0.09171199798583984,0.10621866583824158,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 512 --kv-len 8192 --head-dim 256 --group-sizes 2 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 3
